location,count,link
"united states--minnesota",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--minnesota"
"united states--north dakota",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--north%20dakota"
"united states--washington (state)--mount rainier forest reserve",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--mount%20rainier%20forest%20reserve"
"united states--washington (state)--grant county--grand coulee",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--grant%20county--grand%20coulee"
"united states--washington (state)--puyallup indian reservation",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--puyallup%20indian%20reservation"
"united states--washington (state)--kitsap county--sinclair inlet",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--kitsap%20county--sinclair%20inlet"
"united states--idaho--spokane river",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--spokane%20river"
"united states--washington (terr.)--spokane river",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--spokane%20river"
"united states--wisconsin",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--wisconsin"
"united states--washington (state)--chelan national forest",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--chelan%20national%20forest"
"united states--washington (state)--pacific county--willapa bay",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pacific%20county--willapa%20bay"
"san juan island",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#san%20juan%20island"
"canal de haro",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#canal%20de%20haro"
"puget sound",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#puget%20sound"
"united states--washington (terr.)--cowlitz pass",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--cowlitz%20pass"
"united states--washington (terr.)--skagit county",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--skagit%20county"
"united states--washington (terr.)--skykomish",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--skykomish"
"united states--washington (state)--king county--seattle--lake washington ship canal",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--king%20county--seattle--lake%20washington%20ship%20canal"
"united states--washington (state)--whatcom county--mount baker",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whatcom%20county--mount%20baker"
"united states--idaho--pend oreille county",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--pend%20oreille%20county"
"united states--washington (terr.)--snoqualmie pass",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--snoqualmie%20pass"
"united states--washington (state)--chelan county--wenatchee",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--chelan%20county--wenatchee"
"united states--washington (state)--whitman county--palouse river",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--palouse%20river"
"united states--washington (state)--yakima county--prosser",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--yakima%20county--prosser"
"pataha creek",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#pataha%20creek"
"united states--washington (state)--whitman county--pataha city",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--pataha%20city"
"united states--washington (state)--spokane county--cheney",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--spokane%20county--cheney"
"united states--idaho--kootenai county--cataldo",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--kootenai%20county--cataldo"
"united states--washington (state)--chelan county--lake chelan",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--chelan%20county--lake%20chelan"
"united states--washington (state)--straits of juan de fuca",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--straits%20of%20juan%20de%20fuca"
"united states--washington (state)--yakima river",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--yakima%20river"
"united states--washington (state)--whitman county--pampa",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--pampa"
"united states--idaho--pend oreille lake",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--pend%20oreille%20lake"
"north and central america--northwest coast--strait of haro",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwest%20coast--strait%20of%20haro"
"united states--washington (state)--rosario strait",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--rosario%20strait"
"united states--washington (state)--olympic peninsula--olympic national forest",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--olympic%20peninsula--olympic%20national%20forest"
"united states--washington (terr.)--grays harbor",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--grays%20harbor"
"united states--washington (terr.)--port discovery",1,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--port%20discovery"
