location,count,link
"concord, cabarrus county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#concord,%20cabarrus%20county,%20north%20carolina,%20united%20states"
"warrenton, warren county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#warrenton,%20warren%20county,%20north%20carolina,%20united%20states"
"beaufort county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#beaufort%20county,%20north%20carolina,%20united%20states"
"lexington, davidson county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#lexington,%20davidson%20county,%20north%20carolina,%20united%20states"
"rowan county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#rowan%20county,%20north%20carolina,%20united%20states"
"craven-pamlico-carteret regional library",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#craven-pamlico-carteret%20regional%20library"
"eden, rockingham county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#eden,%20rockingham%20county,%20north%20carolina,%20united%20states"
"leaksville (historical), rockingham county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#leaksville%20(historical),%20rockingham%20county,%20north%20carolina,%20united%20states"
"wadesboro, anson county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wadesboro,%20anson%20county,%20north%20carolina,%20united%20states"
"tapoco, graham county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#tapoco,%20graham%20county,%20north%20carolina,%20united%20states"
"randolph county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#randolph%20county,%20north%20carolina,%20united%20states"
"washington, beaufort county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#washington,%20beaufort%20county,%20north%20carolina,%20united%20states"
"cherokee county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#cherokee%20county,%20north%20carolina,%20united%20states"
"clay county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#clay%20county,%20north%20carolina,%20united%20states"
"boone, watauga county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#boone,%20watauga%20county,%20north%20carolina,%20united%20states"
"cape hatteras national seashore, dare county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#cape%20hatteras%20national%20seashore,%20dare%20county,%20north%20carolina,%20united%20states"
"plymouth, washington county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#plymouth,%20washington%20county,%20north%20carolina,%20united%20states"
"southport, brunswick county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#southport,%20brunswick%20county,%20north%20carolina,%20united%20states"
"benson, johnston county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#benson,%20johnston%20county,%20north%20carolina,%20united%20states"
"shelby, cleveland county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#shelby,%20cleveland%20county,%20north%20carolina,%20united%20states"
"newland, avery county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#newland,%20avery%20county,%20north%20carolina,%20united%20states"
"burgaw, pender county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#burgaw,%20pender%20county,%20north%20carolina,%20united%20states"
"pender county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#pender%20county,%20north%20carolina,%20united%20states"
"chatham county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#chatham%20county,%20north%20carolina,%20united%20states"
"granville county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#granville%20county,%20north%20carolina,%20united%20states"
"biscoe, montgomery county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#biscoe,%20montgomery%20county,%20north%20carolina,%20united%20states"
"jackson county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#jackson%20county,%20north%20carolina,%20united%20states"
"alleghany county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#alleghany%20county,%20north%20carolina,%20united%20states"
"ashe county, north carolina, united states",3,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#ashe%20county,%20north%20carolina,%20united%20states"
"mount airy, surry county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#mount%20airy,%20surry%20county,%20north%20carolina,%20united%20states"
"new hanover county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#new%20hanover%20county,%20north%20carolina,%20united%20states"
"lenoir county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#lenoir%20county,%20north%20carolina,%20united%20states"
"central north carolina regional library  (historical)",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#central%20north%20carolina%20regional%20library%20%20(historical)"
"whiteville, columbus county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#whiteville,%20columbus%20county,%20north%20carolina,%20united%20states"
"bailey, nash county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bailey,%20nash%20county,%20north%20carolina,%20united%20states"
"craven county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#craven%20county,%20north%20carolina,%20united%20states"
"lucama, wilson county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#lucama,%20wilson%20county,%20north%20carolina,%20united%20states"
"nash county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#nash%20county,%20north%20carolina,%20united%20states"
"stantonsburg, wilson county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#stantonsburg,%20wilson%20county,%20north%20carolina,%20united%20states"
"elizabeth city, pasquotank county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#elizabeth%20city,%20pasquotank%20county,%20north%20carolina,%20united%20states"
"hudson, caldwell county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#hudson,%20caldwell%20county,%20north%20carolina,%20united%20states"
"pitt county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#pitt%20county,%20north%20carolina,%20united%20states"
"halifax county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#halifax%20county,%20north%20carolina,%20united%20states"
"sanford, lee county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sanford,%20lee%20county,%20north%20carolina,%20united%20states"
"wake forest, wake county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wake%20forest,%20wake%20county,%20north%20carolina,%20united%20states"
"yancey county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#yancey%20county,%20north%20carolina,%20united%20states"
"new bern, craven county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#new%20bern,%20craven%20county,%20north%20carolina,%20united%20states"
"transylvania county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#transylvania%20county,%20north%20carolina,%20united%20states"
"mecklenburg county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#mecklenburg%20county,%20north%20carolina,%20united%20states"
"star, montgomery county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#star,%20montgomery%20county,%20north%20carolina,%20united%20states"
"kenly, johnston county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#kenly,%20johnston%20county,%20north%20carolina,%20united%20states"
"smithfield, johnston county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#smithfield,%20johnston%20county,%20north%20carolina,%20united%20states"
"sands, watauga county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sands,%20watauga%20county,%20north%20carolina,%20united%20states"
"nantahala regional library (historical)",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#nantahala%20regional%20library%20(historical)"
"sampson county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sampson%20county,%20north%20carolina,%20united%20states"
"mooresville, iredell county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#mooresville,%20iredell%20county,%20north%20carolina,%20united%20states"
"black mountain, buncombe county, north carolina, united states",2,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#black%20mountain,%20buncombe%20county,%20north%20carolina,%20united%20states"
"scotland county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#scotland%20county,%20north%20carolina,%20united%20states"
"moore county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#moore%20county,%20north%20carolina,%20united%20states"
"golden (historical), rutherford county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#golden%20(historical),%20rutherford%20county,%20north%20carolina,%20united%20states"
"valle crucis, watauga county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#valle%20crucis,%20watauga%20county,%20north%20carolina,%20united%20states"
"sadler, rockingham county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sadler,%20rockingham%20county,%20north%20carolina,%20united%20states"
"badin, stanly county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#badin,%20stanly%20county,%20north%20carolina,%20united%20states"
"aquadale, stanly county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#aquadale,%20stanly%20county,%20north%20carolina,%20united%20states"
"gulrock, hyde county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#gulrock,%20hyde%20county,%20north%20carolina,%20united%20states"
"lumberton, robeson county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#lumberton,%20robeson%20county,%20north%20carolina,%20united%20states"
"randleman, randolph county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#randleman,%20randolph%20county,%20north%20carolina,%20united%20states"
"stanhope, nash county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#stanhope,%20nash%20county,%20north%20carolina,%20united%20states"
"neuse, wake county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#neuse,%20wake%20county,%20north%20carolina,%20united%20states"
"falls, wake county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#falls,%20wake%20county,%20north%20carolina,%20united%20states"
"red oak, nash county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#red%20oak,%20nash%20county,%20north%20carolina,%20united%20states"
"swanquarter, hyde county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#swanquarter,%20hyde%20county,%20north%20carolina,%20united%20states"
"washington county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#washington%20county,%20north%20carolina,%20united%20states"
"perquimans county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#perquimans%20county,%20north%20carolina,%20united%20states"
"chowan county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#chowan%20county,%20north%20carolina,%20united%20states"
"alexander county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#alexander%20county,%20north%20carolina,%20united%20states"
"stokes county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#stokes%20county,%20north%20carolina,%20united%20states"
"hubert, onslow county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#hubert,%20onslow%20county,%20north%20carolina,%20united%20states"
"oteen, buncombe county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#oteen,%20buncombe%20county,%20north%20carolina,%20united%20states"
"wilkes county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wilkes%20county,%20north%20carolina,%20united%20states"
"pilot mountain, surry county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#pilot%20mountain,%20surry%20county,%20north%20carolina,%20united%20states"
"rutherford county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#rutherford%20county,%20north%20carolina,%20united%20states"
"bladen county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bladen%20county,%20north%20carolina,%20united%20states"
"sandy cross, nash county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#sandy%20cross,%20nash%20county,%20north%20carolina,%20united%20states"
"kenansville, duplin county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#kenansville,%20duplin%20county,%20north%20carolina,%20united%20states"
"franklinville, randolph county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#franklinville,%20randolph%20county,%20north%20carolina,%20united%20states"
"ramseur, randolph county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#ramseur,%20randolph%20county,%20north%20carolina,%20united%20states"
"union county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#union%20county,%20north%20carolina,%20united%20states"
"burke county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#burke%20county,%20north%20carolina,%20united%20states"
"kannapolis, cabarrus county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#kannapolis,%20cabarrus%20county,%20north%20carolina,%20united%20states"
"cabarrus county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#cabarrus%20county,%20north%20carolina,%20united%20states"
"valdese, burke county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#valdese,%20burke%20county,%20north%20carolina,%20united%20states"
"kings mountain, cleveland county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#kings%20mountain,%20cleveland%20county,%20north%20carolina,%20united%20states"
"pamlico county, north carolina, united states",1,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#pamlico%20county,%20north%20carolina,%20united%20states"
