subject,count,link
"lumbee indians",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#lumbee%20indians"
"lumbee indians--north carolina--folklore",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#lumbee%20indians--north%20carolina--folklore"
"healers--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#healers--north%20carolina"
"cherokee indians--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#cherokee%20indians--north%20carolina"
"chimney rock village (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#chimney%20rock%20village%20(n.c.)"
"plants",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#plants"
"herbs--therapeutic use",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#herbs--therapeutic%20use"
"folklore--north carolina--shallotte river",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina--shallotte%20river"
"water--health aspects",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#water--health%20aspects"
"folklore--north carolina--perquimans county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina--perquimans%20county"
"perquimans county (n.c.)--economic conditions",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#perquimans%20county%20(n.c.)--economic%20conditions"
"burial",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#burial"
"legends--north carolina--ashe county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#legends--north%20carolina--ashe%20county"
"north carolina--history--world war, 1939-1945",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#north%20carolina--history--world%20war,%201939-1945"
"coast defenses--north carolina--history",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#coast%20defenses--north%20carolina--history"
"seashore--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#seashore--north%20carolina"
"coasts--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#coasts--north%20carolina"
"valdese (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#valdese%20(n.c.)"
"textile workers' strike (1929 : gastonia, n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#textile%20workers'%20strike%20(1929%20:%20gastonia,%20n.c.)"
"legends--north carolina--beaufort county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#legends--north%20carolina--beaufort%20county"
"boatbuilding--north carolina--harkers island--history",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#boatbuilding--north%20carolina--harkers%20island--history"
"outer banks (n.c.)--history",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#outer%20banks%20(n.c.)--history"
"dance festivals-north carolina--asheville",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#dance%20festivals-north%20carolina--asheville"
"folk festivals--north carolina--asheville",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20festivals--north%20carolina--asheville"
"wilkins, kay",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#wilkins,%20kay"
"folklore--north carolina--outer banks",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina--outer%20banks"
"banjoists--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#banjoists--north%20carolina"
"african americans--north carolina--piedmont triad--music",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20americans--north%20carolina--piedmont%20triad--music"
"folk art",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20art"
